movie_id,title,overview,rating,popularity,release_date,poster_path,genre_ids,genres,combined_features,imdb_link
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",7.6,182.5212,2026-04-22,/3Qud19bBUrrJAzy0Ilm8gRJlJXP.jpg,"[10402, 18]",Music Drama,"Michael The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career. Music Drama",https://www.themoviedb.org/movie/936075
1327819,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",7.9,176.3884,2026-03-04,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,"[16, 12, 35, 10751, 878]",Animation Adventure Comedy Family Science Fiction,"Hoppers Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined. Animation Adventure Comedy Family Science Fiction",https://www.themoviedb.org/movie/1327819
1669050,Tayuan 2,"A charming bus conductor drawn to both men and women who feels an unexpected spark with a shy commuter. On crowded bus rides where bodies brush, desire grows and love becomes messy.",3.7,152.0087,2026-04-17,/gkHNa8q3RNhgj2EMuoYWJUHsMa6.jpg,[18],Drama,"Tayuan 2 A charming bus conductor drawn to both men and women who feels an unexpected spark with a shy commuter. On crowded bus rides where bodies brush, desire grows and love becomes messy. Drama",https://www.themoviedb.org/movie/1669050
1630423,My Dearest Assassin,"Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces.",6.763,197.476,2026-05-06,/ul4dQcA68mtSx8J56N5gEcaCCtP.jpg,"[28, 18, 10749]",Action Drama Romance,"My Dearest Assassin Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces. Action Drama Romance",https://www.themoviedb.org/movie/1630423
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.404,180.0314,2025-12-17,/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,"[878, 12, 14]",Science Fiction Adventure Fantasy,"Avatar: Fire and Ash In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits. Science Fiction Adventure Fantasy",https://www.themoviedb.org/movie/83533
318256,Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,6.085,202.065,2015-01-24,/75ot83QOkc02vujyzmIbumQCU6Y.jpg,[99],Documentary,Hot Girls Wanted A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it. Documentary,https://www.themoviedb.org/movie/318256
1330021,Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",8.0,137.5899,2026-05-07,/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,"[18, 9648]",Drama Mystery,"Remarkably Bright Creatures Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again. Drama Mystery",https://www.themoviedb.org/movie/1330021
1314481,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",6.775,129.3275,2026-04-29,/xTI42pmsP5EDnvsNJPEDubwWBQO.jpg,"[35, 18]",Comedy Drama,"The Devil Wears Prada 2 Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival. Comedy Drama",https://www.themoviedb.org/movie/1314481
1613798,Vengeance,"The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible.",7.081,136.0887,2026-02-26,/ygWXPL0RS91JyJPNOfK34eV3bRE.jpg,"[28, 53]",Action Thriller,"Vengeance The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible. Action Thriller",https://www.themoviedb.org/movie/1613798
1292695,They Will Kill You,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.",6.79,130.6048,2026-03-25,/6oI4oQKTWMVUlr8Ivqydp28Ruu6.jpg,"[28, 35, 27]",Action Comedy Horror,"They Will Kill You A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult. Action Comedy Horror",https://www.themoviedb.org/movie/1292695
